HeroRank,VillainRank,CharacterID,CharacterName,CharacterType,Actor,ActorID,Gender,Film,FilmCode,FilmReleaseYear,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,RTCriticScore,RTAudienceScore
N/A,37,38,Harry Lime,Villain,Orson Welles,80,M,The Third Man,83,1949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,99,93
N/A,38,39,Caesar Enrico Bandello,Villain,Edward G. Robinson,81,M,Little Caesar,84,1931,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,91,75
N/A,39,40,Cruella De Vil,Villain,Voice by Betty Lou Gerson,82,F,One Hundred and One Dalmatians,85,1961,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,75
N/A,40,41,Freddy Krueger,Villain,Robert Englund,83,M,A Nightmare on Elm Street,86,1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,83
N/A,41,42,Joan Crawford,Villain,Faye Dunaway,75,F,Mommie Dearest,87,1981,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,72
N/A,42,43,Tom Powers,Villain,James Cagney,69,M,The Public Enemy,88,1931,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,84
N/A,43,44,Regina Giddens,Villain,Bette Davis,84,F,The Little Foxes,89,1941,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,100,88
N/A,44,45,Baby Jane Hudson,Villain,Bette Davis,84,F,What Ever Happened to Baby Jane?,90,1962,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,92,92
N/A,45,46,The Joker,Villain,Jack Nicholson,68,M,Batman,45,1989,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,84
N/A,46,47,Hans Gruber,Villain,Alan Rickman,85,M,Die Hard,91,1988,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,93,94
N/A,47,48,Tony Camonte,Villain,Paul Muni,86,M,Scarface,92,1932,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,100,86
N/A,48,49,"Roger ""Verbal"" Kint (Keyser Soze)",Villain,Kevin Spacey,87,M,The Usual Suspects,93,1995,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,88,96
N/A,49,50,Auric Goldfinger,Villain,Gert Frobe (voiced by Michael Collins),88,M,Goldfinger,94,1964,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,97,89
N/A,50,51,Detective Alonzo Harris,Villain,Denzel Washington,89,M,Training Day,95,2001,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,72,89
